,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
78,HTI,Haiti,2759.37184,2019,1990,3612.81510511417,3112.29594285407,-0.005129096784696974,2967.0,3324.0,3563.0,2649.750428140223,low,0.009627467909032461,0.016023864577858093,0.018418469732833342
79,HND,Honduras,2230.23759,2019,1990,3912.70204526407,5613.66058791544,0.01252519908201144,2406.0,2886.0,2950.0,2055.213294204772,lower-middle,0.006068034300330982,0.0129438462152478,0.01348670668269314
80,HKG,Hong Kong (China),2274.48656,2019,1990,28797.7030873198,59592.0344814547,0.025393835412524712,2608.0,3005.0,3110.0,395.3678638292436,high,0.0003357714341460927,0.0006306338381076859,0.0006948428728277278
81,HUN,Hungary,475.55314,2019,1991,16426.9405835293,32645.6637288361,0.024831481087231433,735.0,941.0,990.0,286.2720030662668,upper-middle,0.004701731160190015,0.0062390889763119795,0.006497249566217889
82,ISL,Iceland,0.0,2019,1995,33666.1804992579,56584.1686827215,0.02187053998927757,0.0,0.0,1.0,0.0,high,,,
83,IND,India,3005.54795,2019,1990,1819.02159651277,6617.12986868393,0.045536088126231666,3478.0,3984.0,4115.0,2691.5122835601,lower-middle,0.007659365481063718,0.01136958200829219,0.012042932214703983
84,IDN,Indonesia,2912.33378,2019,1990,4519.72279421074,11857.7891170417,0.0338190940430918,3517.0,3929.0,4138.0,2307.7875542848606,middle,0.00514897034002848,0.007077366106751581,0.007824486869744351
85,IRQ,Iraq,2913.10609,2019,1990,7449.47165519372,10299.3162890193,0.011232770883830456,3029.0,3505.0,3778.0,2399.674840668812,lower-middle,0.0016407611871545047,0.0058890602380590185,0.007412213006398272
86,IRL,Ireland,4.23573,2019,1990,26781.6276093907,86925.9065817976,0.041433293055659126,28.0,59.0,93.0,2.6950086311198698,high,0.010457422863073162,0.011016799929197685,0.011057338595831245
87,IRN,Islamic Republic of Iran,1354.99549,2019,1990,9442.24811639528,14084.3535121898,0.013884136197312325,1505.0,1880.0,2090.0,1074.0847151667886,middle,0.0032681502409119823,0.007499958674427765,0.008867396830637198
88,IMN,Isle of Man,0.0,2019,1990,,,,,,,,,,,
89,ISR,Israel,1537.09814,2019,1995,26891.425122526,41151.0067396475,0.017884755764003835,1651.0,2044.0,2270.0,585.0858132696906,high,0.0004812769614084278,0.001670902427204135,0.0021465377962732735
90,ITA,Italy,681.71964,2019,1990,36585.6799028741,42739.0499116836,0.005374949203398538,799.0,1101.0,1166.0,306.5063472580748,high,0.0012847395012707263,0.0031457627326938464,0.003404798159665212
91,JAM,Jamaica,3097.91909,2019,1990,8692.50223491895,10244.3661921245,0.0056804547605158184,2797.0,3119.0,3348.0,2546.398771993183,lower-middle,-0.006715690136304797,0.00030542191000670904,0.002968975059306711
92,JPN,Japan,879.84362,2019,1990,32846.3896070232,41654.3279152693,0.00822548775539822,1066.0,1197.0,1402.0,382.4166621512087,high,0.001441607453438909,0.0021405008908312873,0.002938144031584544
93,JOR,Jordan,1481.92829,2019,1990,8127.6265386227,9534.6609493486,0.0055208647203743855,1579.0,1984.0,2196.0,1283.2659371084533,lower-middle,0.0033110883157256854,0.009795488348705472,0.011527629246370408
94,KAZ,Kazakhstan,543.91172,2019,1990,13475.6398976651,26351.8044418782,0.02339544922200365,595.0,904.0,986.0,364.5647470690158,upper-middle,0.0016812271723243288,0.0064183509115933735,0.007050788516674622
95,KEN,Kenya,1471.73062,2019,1990,3655.36205689276,4601.21137258037,0.007966894507559497,1420.0,2021.0,2190.0,1391.6725977924539,lower-middle,-0.009590194879248504,0.01736064029904827,0.0190252403857476
96,KIR,Kiribati,3543.26065,2019,1990,2045.27227844342,1963.53488352412,-0.0014053757834251446,,,,3459.1371025337207,low,,,
97,KOR,Korea,755.0332,2019,1990,12656.3960621654,42758.5903686092,0.04287316848200917,940.0,1105.0,1287.0,331.16187899514955,high,0.001637450612107294,0.0025618478206295148,0.00327410826338026
98,XKX,Kosovo,371.80004,2019,2008,7032.45229722004,11318.462250308,0.04421312660947341,,,,329.80776005272975,middle,,,
99,KWT,Kuwait,3462.88263,2019,1992,41446.9637511501,47314.7968373973,0.004916060966189573,3903.0,4355.0,4696.0,797.7202193368043,high,0.00041291676993049364,0.0007433706232782278,0.0009473227983607391
100,KGZ,Kyrgyzstan,252.31133,2019,1990,5158.31756938857,5258.36669631142,0.0006626329145367205,221.0,455.0,543.0,242.50166638279532,lower-middle,,0.025023971178854687,0.026939920830536757
101,LAO,Lao People's Democratic Republic,2620.65878,2019,1990,1939.08623861287,7840.07138309428,0.04935268732508735,2876.0,3496.0,3703.0,2296.5019710410606,lower-middle,0.004835667809862665,0.010288294515300445,0.011362574648979828
102,LVA,Latvia,104.04162,2019,1995,9599.14600512054,31038.6792668747,0.05011358412832312,221.0,360.0,409.0,76.72382618229729,upper-middle,0.009817641643449226,0.012095846500001839,0.012500609205476465
103,LBN,Lebanon,1056.62027,2019,1990,5855.80521329743,17185.0470183692,0.03782206537874089,1050.0,1345.0,1544.0,799.0097984996607,middle,-0.00019935936855031144,0.005275989327594877,0.007143463850638909
104,LSO,Lesotho,229.16774,2019,1990,1265.91890955313,2452.02766699795,0.023058979772033084,242.0,402.0,519.0,225.90041158523485,low,0.014905918326623802,0.034215048938193604,0.03709937174915212
105,LBR,Liberia,2922.18878,2019,2000,1725.14489392022,1455.63764867217,-0.008900521760791147,3204.0,3708.0,3896.0,2877.489946684676,low,0.018431413214381687,0.02638333337218013,0.027986877289935874
106,LBY,Libya,1725.61074,2019,1999,26668.4443358796,22535.4456198617,-0.008384233407065733,1949.0,2317.0,2464.0,1091.2391748130055,upper-middle,0.0019083524812668617,0.003919818166131961,0.00449927917419668
107,LTU,Lithuania,150.80232,2019,1995,10640.3600314613,37184.4536013211,0.05351780152665708,258.0,417.0,460.0,98.19240504542414,upper-middle,0.0062595171401604865,0.008784535220695888,0.009139627436758335
108,LUX,Luxembourg,165.42047,2019,1990,70860.8191239509,114542.496933956,0.0166974647952447,334.0,505.0,637.0,24.956314454147524,high,0.001049807188225893,0.0013051403461488142,0.0013656357096507588
109,MDG,Madagascar,1609.82872,2019,1990,1808.74353873908,1585.47165110942,-0.004532816052504773,1511.0,2028.0,2117.0,1586.722054544993,low,,0.026710026767391426,0.028167208642936536
110,MWI,Malawi,1529.49885,2019,1990,936.986299651878,1517.70316939192,0.016769564886886412,1848.0,2513.0,2809.0,1509.050880025343,low,0.025656235977027153,0.0338367184977586,0.035463457104837115
111,MYS,Malaysia,3342.81154,2019,1990,10607.7680731014,27674.3974895709,0.03361901022731417,3306.0,3818.0,3986.0,1617.8929453105036,upper-middle,-0.00011569518944976043,0.0012333168017617524,0.0015801694079715656
112,MDV,Maldives,3514.0788,2019,1995,10430.7886458859,20574.4044296743,0.028707932196708752,,,,2127.788250286145,upper-middle,,,
113,MLI,Mali,3969.02617,2019,1990,1336.57190539601,2219.04674252443,0.017635411604186357,4323.0,4902.0,5286.0,3855.1806856529356,low,0.012909688512171114,0.01973226228334224,0.022175600423247177
114,MLT,Malta,1101.27582,2019,1990,16127.8315252544,45881.4902544427,0.03671001594709722,,,,401.7102847218037,high,,,
115,MHL,Marshall Islands,3422.92911,2019,1990,3426.44047645492,5647.16480543959,0.01737794741734655,,,,3117.77925658304,lower-middle,,,
116,MRT,Mauritania,3721.76061,2019,1990,4611.94118707035,5505.64633125718,0.006126460153105917,4479.0,4998.0,5274.0,3392.59660270995,lower-middle,0.010009674806674473,0.012908610466770165,0.0140120717868506
117,MUS,Mauritius,2376.85923,2019,1990,8233.91191179834,23676.4135788934,0.037092696623525434,2263.0,2616.0,2775.0,1389.8587784503748,upper-middle,-0.0007775300126758866,0.00130064018461451,0.001987547138898149
118,MEX,Mexico,1233.20239,2019,1990,15218.3084360329,20064.5004997154,0.00957844118197615,1269.0,1595.0,1856.0,862.6739016295614,upper-middle,0.0006549230896710778,0.004462838827717475,0.006150272754499975
119,FSM,Micronesia (Federated States of),3428.10057,2019,1990,2925.35863300248,3540.84378746852,0.006606137800392098,,,,3257.486798272468,low,,,
120,MNG,Mongolia,121.57768,2019,1990,5030.07325208107,12458.0184257633,0.031767597498466804,167.0,305.0,357.0,110.25106623964894,middle,0.012986859861994438,0.019964883414969492,0.02091588747917128
121,MNE,Montenegro,384.05217,2019,1997,12579.285087423,21533.963774298,0.02473644590428048,389.0,625.0,662.0,290.78405261595805,upper-middle,0.0003933415795720485,0.008322805717510429,0.008857822598732135
122,MAR,Morocco,897.2608,2019,1990,4119.8720703125,8217.5986328125,0.024094517632962775,1141.0,1480.0,1591.0,809.8441171450752,lower-middle,0.010901353048102136,0.015621144330886017,0.016513488205907034
123,MOZ,Mozambique,2251.88349,2019,1990,460.123696680511,1285.18275959651,0.03605407640082814,2551.0,3101.0,3418.0,2224.6775491472845,low,0.02300413270564272,0.031126275417542537,0.03337572176713377
124,MMR,Myanmar,3027.15466,2019,1990,581.613311207808,4829.53670703209,0.07571940905911245,3353.0,3920.0,4094.0,2812.4574995948374,lower-middle,0.00805487883343603,0.013744222838627973,0.014810220435124144
125,NAM,Namibia,2077.20185,2019,1990,6223.45299390074,10009.578071046,0.01652181210744197,1737.0,2384.0,2624.0,1753.8184791575814,lower-middle,,0.005308919347491559,0.007649064592344823
126,NRU,Nauru,3505.35762,2019,2004,5342.33055126122,10529.8131940478,0.04627535113473469,,,,2839.567324074148,lower-middle,,,
127,NPL,Nepal,1619.24067,2019,1990,1554.6020430045,3922.08133124638,0.0324250411926752,2109.0,2530.0,2694.0,1545.2404691863242,low,0.017480321087067763,0.021440862756468393,0.022430104265663164
128,NLD,Netherlands,134.09884,2019,1990,36461.4190196424,56784.0372529824,0.015393154166584377,200.0,289.0,394.0,65.46309077597773,high,0.003113102977055471,0.004807996795400227,0.005754669321128336
129,NCL,New Caledonia,1547.36375,2019,1990,,,,1805.0,2036.0,2351.0,,,,,
130,NZL,New Zealand,155.26919,2019,1990,27998.3977677454,43272.5669090792,0.015126071783313266,166.0,297.0,355.0,91.70599008103126,high,0.0009531792811274808,0.005860551208632492,0.006715206658375994
131,NIC,Nicaragua,3015.66863,2019,1990,3409.79425137619,5398.09441484394,0.01596731079538305,3202.0,3605.0,3779.0,2770.2887549016236,lower-middle,0.004941176160989436,0.010354477791324923,0.01180894253772724
132,NER,Niger,3954.08747,2019,1990,1077.91146474223,1217.44598648234,0.004206403936683367,4443.0,5022.0,5406.0,3901.594125616876,low,0.02159593619493294,0.027734658016085323,0.030035706549788266
133,NGA,Nigeria,3251.74999,2019,1990,3259.58117509029,5076.36829020617,0.015393043020967223,3721.0,4279.0,4545.0,3001.351331235202,lower-middle,0.009073912062390832,0.013509452955144274,0.014857500190036399
134,MNP,Northern Mariana Islands,3404.45195,2019,1990,,,,,,,,,,,
135,NOR,Norway,26.5493,2019,1990,42302.2634118752,64983.3542076922,0.014913231446203268,57.0,91.0,150.0,15.607492744811719,high,0.006385102997669367,0.008030178865469972,0.009022006669834548
136,OMN,Oman,3571.08601,2019,1990,30462.2010842738,33814.1116228719,0.003606197521739407,3396.0,3826.0,4090.0,1368.756920373081,upper-middle,-0.00037298080496928065,0.00046961193924621725,0.0008832379793630718
137,PAK,Pakistan,2683.01501,2019,1990,3061.53338764049,5157.546571801,0.01814700534083724,3292.0,3578.0,3760.0,2483.3988165230026,lower-middle,0.011834636248359454,0.014100369607568108,0.015192451353655878
