,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
52,DEU,78.43603,2019,1990.0,36699.4817033163,53874.3166510099,0.01332563399251474,143.0,237.5,320.5,Germany,high,64.56397,159.06396999999998,242.06396999999998,39.736869792900634,0.4933849942060985,0.009333416831173391,0.013093699044358864,0.010694637101893223,,,0.0017502847480428407
53,GHA,2338.25173,2019,1990.0,2299.63879373958,5345.94159228145,0.02951638162913528,2755.0,3237.0,3485.5,Ghana,lower middle,416.74827000000005,898.74827,1147.24827,2180.0372114644524,0.06766359520048237,0.01056703450008234,0.01493158569907016,0.016297043280433465,0.032119320666158524,0.0319702599006495,0.03190055727148455
54,GRC,516.54474,2019,1990.0,24262.8425808592,29721.5857620428,0.00702203995147177,626.5,830.5,897.5,Greece,high,109.95525999999995,313.95525999999995,380.95525999999995,277.50140328151383,0.46277373131025634,0.0023005951157752946,0.004522227755589414,0.0049708950187015155,0.01104429259433215,0.011174038719537815,0.011175755416905186
55,GTM,595.13284,2019,1990.0,5561.07068412655,8673.00201631063,0.015443006355923883,904.5,1321.0,1334.5,Guatemala,upper middle,309.36716,725.86716,739.36716,523.673036168196,0.12007370292623087,0.013175021362304973,0.01734432494427174,0.01742181303884549,0.026668378376454305,0.026539006957444267,0.026533292692347166
56,GIN,1941.44631,2019,1990.0,1507.19852172471,2545.1402015108,0.01823084776178896,2136.5,2698.0,2940.5,Guinea,low,195.05368999999996,756.55369,999.05369,1893.272532468683,0.02481334522782508,0.014135255476462438,0.023495437028335786,0.025283512726623547,0.04184477126767416,0.041638585358505065,0.04155918371360179
57,GNB,2462.95165,2019,1990.0,1998.17320635701,1890.53310322385,-0.0019076440552734386,2642.5,3060.5,3293.5,Guinea-Bissau,low,179.54835000000003,597.54835,830.54835,2421.969015661249,0.016639642251503717,0.014841109870798341,0.023545943368917133,0.025864419880957223,0.04548817149112305,0.045351957747006955,0.04528249701124776
58,GUY,1973.23754,2019,1990.0,4818.38799518684,12820.4897019679,0.034320829053880786,2473.0,2932.0,3271.0,Guyana,upper middle,499.7624599999999,958.7624599999999,1297.76246,1558.752665231537,0.2100532076682785,0.005591767723390539,0.008013074405216924,0.009169313534962642,0.02112949012456644,0.020977161941331923,0.02087642427006675
59,HTI,1664.37583,2019,1990.0,3612.81510511417,3112.29594285407,-0.005129096784696974,1871.5,2229.0,2468.0,Haiti,low,207.12417000000005,564.62417,803.62417,1610.3461985332858,0.032462398511707624,0.013635570988916879,0.02037609516650174,0.022652882635655125,0.03936906643264115,0.03922424489481946,0.039135036950981306
60,HND,1185.32427,2019,1990.0,3912.70204526407,5613.66058791544,0.01252519908201144,1359.0,1807.0,1877.0,Honduras,lower middle,173.67572999999993,621.6757299999999,691.6757299999999,1101.6058966804906,0.07062908896610165,0.009465082563502536,0.01684512074993294,0.01744478913097325,0.032050635678992245,0.03185517499323076,0.03182555686005539
61,HKG,1395.30672,2019,1990.0,28797.7030873198,59592.0344814547,0.025393835412524712,1696.5,2043.5,2145.5,Hong Kong,high,301.19327999999996,648.19328,750.19328,182.4709919241624,0.8692251751470369,0.00016391564921836022,0.00025160922029399124,0.00026566467384281367,0.0022425221090502934,0.0021009720229641093,0.0020615809921531447
62,HUN,211.65705,2019,1991.0,16426.9405835293,32645.6637288361,0.024831481087231433,404.5,567.5,604.5,Hungary,high,192.84295,355.84295,392.84295,118.05112725588722,0.4422527987804459,0.006843160968739159,0.008200615556167135,0.008361615077019158,0.00901200464838392,0.009766470722516019,0.009839426551945918
63,IND,2081.66489,2019,1990.0,1819.02159651277,6617.12986868393,0.045536088126231666,2496.5,2965.0,3088.5,India,lower middle,414.83511,883.33511,1006.83511,1895.3082324850989,0.0895228902644849,0.009391213375562923,0.013389052665668144,0.014078695561448251,0.029493013274705104,0.02933749353067938,0.029299756989219494
64,IDN,1826.49361,2019,1990.0,4519.72279421074,11857.7891170417,0.0338190940430918,2421.0,2833.0,3042.5,Indonesia,upper middle,594.50639,1006.50639,1216.00639,1480.460237727459,0.18945227641532292,0.00712095740218488,0.00924776235506708,0.010007049194582951,0.022132587070544885,0.021992795905078744,0.021927667875420775
65,IRQ,2276.1726,2019,1990.0,7449.47165519372,10299.3162890193,0.011232770883830456,2328.5,2772.0,3016.0,Iraq,upper middle,52.327400000000125,495.8274000000001,739.8274000000001,1910.9970918690183,0.16043401459580953,0.001055150091746615,0.00637485109067315,0.008015012960184142,0.023945997251733075,0.023791918452621408,0.02371500569464846
66,IRL,0.01406,2019,1990.0,26781.6276093907,86925.9065817976,0.041433293055659126,4.5,11.0,16.5,Ireland,high,4.48594,10.98594,16.48594,0.013948112412570185,0.007957865393301122,,,,,,
67,IRN,904.47284,2019,1990.0,9442.24811639528,14084.3535121898,0.013884136197312325,1019.5,1338.0,1521.5,Iran,upper middle,115.02715999999998,433.52716,617.02716,703.1103410422206,0.22262968002198869,0.0034423579258846537,0.00804389174700293,0.009444282184200459,0.020521306647731663,0.02040554911729675,0.020326354009861936
68,ISR,921.55185,2019,1995.0,26891.425122526,41151.0067396475,0.017884755764003835,1022.5,1363.0,1544.0,Israel,high,100.94815000000006,441.44815000000006,622.44815,316.8501732047897,0.6561775952109589,0.0006046582154897173,0.0018332331746004904,0.002213082753644624,0.007101082504740619,0.006977136580552656,0.006899776577983019
69,ITA,349.24625,2019,1990.0,36585.6799028741,42739.0499116836,0.005374949203398538,434.0,684.5,726.0,Italy,high,84.75375000000003,335.25375,376.75375,146.0536987680039,0.5818031009123107,0.0018236398903717088,0.003948841561039584,0.004111000867758952,0.0058796103600331495,0.00658567690125933,0.006615466530257796
70,JAM,2002.91914,2019,1990.0,8692.50223491895,10244.3661921245,0.0056804547605158184,1702.0,2023.5,2253.0,Jamaica,upper middle,-300.91913999999997,20.58086000000003,250.08086000000003,1686.124380421355,0.15816652467490278,,0.0005019590240857852,0.004475452660675616,0.024265625587066575,0.024131358870067565,0.024041849583281483
71,JPN,469.53488,2019,1990.0,32846.3896070232,41654.3279152693,0.00822548775539822,628.5,729.5,898.0,Japan,high,158.96512,259.96512,428.46512,188.23112052605546,0.5991115281445002,0.0020368559818648713,0.0027418864499684226,0.0034599782248578848,0.006842792393958019,0.006936998233590064,0.0069708652472673105
72,JOR,906.89526,2019,1990.0,8127.6265386227,9534.6609493486,0.0055208647203743855,989.0,1342.5,1524.5,Jordan,upper middle,82.10473999999999,435.60474,617.60474,781.5986135616505,0.13815999704127857,0.004139293582553272,0.011361814251846347,0.013052082918770802,0.025455691019311555,0.02533020351855564,0.02525122432571747
73,KAZ,307.97875,2019,1990.0,13475.6398976651,26351.8044418782,0.02339544922200365,311.5,569.5,626.0,Kazakhstan,upper middle,3.521250000000009,261.52125,318.02125,188.27009784880318,0.3886912722101665,0.00022190822775858265,0.00713432228052957,0.007693735282577219,0.010463933583357843,0.012444486727621884,0.012546741783339144
74,KEN,712.51582,2019,1990.0,3655.36205689276,4601.21137258037,0.007966894507559497,700.5,1118.5,1241.0,Kenya,lower middle,-12.015819999999962,405.98418000000004,528.48418,674.3478144633432,0.05356794118151198,,0.020131410310662012,0.021691398137040574,0.03468068493475296,0.034683844315051005,0.03463737802523226
75,KOR,375.43809,2019,1990.0,12656.3960621654,42758.5903686092,0.04287316848200917,538.0,662.5,825.0,South Korea,high,162.56191,287.06191,449.56191,154.35110024727285,0.5888773559249866,0.002579929753384169,0.003464459985695001,0.004083631241785124,0.006332865310646474,0.0065589632983471535,0.006643254521873754
76,KWT,2705.16551,2019,1992.0,41446.9637511501,47314.7968373973,0.004916060966189573,3068.5,3496.5,3789.0,Kuwait,high,363.3344900000002,791.3344900000002,1083.8344900000002,467.2006809148283,0.8272931252495421,0.00024091562860029114,0.00044503912776172605,0.0005508667276159507,0.00460922505859096,0.00448988783848181,0.004415464055811613
77,KGZ,114.08964,2019,1990.0,5158.31756938857,5258.36669631142,0.0006626329145367205,84.5,234.0,288.5,Kyrgyz Republic,lower middle,-29.589640000000003,119.91036,174.41036,107.21521221819988,0.06025461892771444,,0.026126193499691475,0.028440915187963656,,0.02837030941330454,0.03025161057534631
78,LAO,1621.95021,2019,1990.0,1939.08623861287,7840.07138309428,0.04935268732508735,1855.5,2442.0,2649.5,Laos,lower middle,233.54979000000003,820.04979,1027.54979,1442.4036983929084,0.11069791816056529,0.00671381878473265,0.012846085530224371,0.013959008858208222,0.027588070851528812,0.027359291130852226,0.027286908225950812
79,LVA,17.66825,2019,1995.0,9599.14600512054,31038.6792668747,0.05011358412832312,83.5,165.5,177.0,Latvia,high,65.83175,147.83175,159.33175,12.504196737209634,0.2922787068776119,0.013171942853864804,0.017214146045146483,0.017708223770900755,,0.0010732850747923184,0.00228664818814317
