ISO,NAME,data,rcp,regnum,ssp,stat,tslice,year,value
MOZ,Mozambique,CDD,rcp26,113,SSP1,mean,future,2020,1569.5
MOZ,Mozambique,CDD,rcp26,113,SSP1,PopWeightAv,future,2020,1559.5
MRT,Mauritania,CDD,rcp26,114,SSP1,mean,future,2020,3177.0
MRT,Mauritania,CDD,rcp26,114,SSP1,PopWeightAv,future,2020,3219.5
MUS,Mauritius,CDD,rcp26,115,SSP1,mean,future,2020,1221.5
MUS,Mauritius,CDD,rcp26,115,SSP1,PopWeightAv,future,2020,1221.5
MWI,Malawi,CDD,rcp26,116,SSP1,mean,future,2020,1054.0
MWI,Malawi,CDD,rcp26,116,SSP1,PopWeightAv,future,2020,1023.0
MYS,Malaysia,CDD,rcp26,117,SSP1,mean,future,2020,1933.5
MYS,Malaysia,CDD,rcp26,117,SSP1,PopWeightAv,future,2020,2162.5
NAM,Namibia,CDD,rcp26,118,SSP1,mean,future,2020,880.0
NAM,Namibia,CDD,rcp26,118,SSP1,PopWeightAv,future,2020,1026.5
NCL,New Caledonia,CDD,rcp26,119,SSP1,mean,future,2020,798.5
NCL,New Caledonia,CDD,rcp26,119,SSP1,PopWeightAv,future,2020,766.5
NER,Niger,CDD,rcp26,120,SSP1,mean,future,2020,3094.5
NER,Niger,CDD,rcp26,120,SSP1,PopWeightAv,future,2020,3337.5
NGA,Nigeria,CDD,rcp26,121,SSP1,mean,future,2020,2616.0
NGA,Nigeria,CDD,rcp26,121,SSP1,PopWeightAv,future,2020,2545.5
NIC,Nicaragua,CDD,rcp26,122,SSP1,mean,future,2020,1960.0
NIC,Nicaragua,CDD,rcp26,122,SSP1,PopWeightAv,future,2020,2034.0
NLD,Netherlands,CDD,rcp26,123,SSP1,mean,future,2020,30.0
NLD,Netherlands,CDD,rcp26,123,SSP1,PopWeightAv,future,2020,33.5
NOR,Norway,CDD,rcp26,124,SSP1,mean,future,2020,1.5
NOR,Norway,CDD,rcp26,124,SSP1,PopWeightAv,future,2020,8.5
NPL,Nepal,CDD,rcp26,125,SSP1,mean,future,2020,537.0
NPL,Nepal,CDD,rcp26,125,SSP1,PopWeightAv,future,2020,1160.5
NZL,New Zealand,CDD,rcp26,126,SSP1,mean,future,2020,3.0
NZL,New Zealand,CDD,rcp26,126,SSP1,PopWeightAv,future,2020,14.0
OMN,Oman,CDD,rcp26,127,SSP1,mean,future,2020,2241.0
OMN,Oman,CDD,rcp26,127,SSP1,PopWeightAv,future,2020,2213.5
PAK,Pakistan,CDD,rcp26,128,SSP1,mean,future,2020,1764.0
PAK,Pakistan,CDD,rcp26,128,SSP1,PopWeightAv,future,2020,2188.5
PAN,Panama,CDD,rcp26,129,SSP1,mean,future,2020,1819.0
PAN,Panama,CDD,rcp26,129,SSP1,PopWeightAv,future,2020,1894.5
PER,Peru,CDD,rcp26,130,SSP1,mean,future,2020,1112.5
PER,Peru,CDD,rcp26,130,SSP1,PopWeightAv,future,2020,702.0
PHL,Philippines,CDD,rcp26,131,SSP1,mean,future,2020,1984.0
PHL,Philippines,CDD,rcp26,131,SSP1,PopWeightAv,future,2020,2144.0
PNG,Papua New Guinea,CDD,rcp26,132,SSP1,mean,future,2020,1831.5
PNG,Papua New Guinea,CDD,rcp26,132,SSP1,PopWeightAv,future,2020,1413.0
POL,Poland,CDD,rcp26,133,SSP1,mean,future,2020,90.5
POL,Poland,CDD,rcp26,133,SSP1,PopWeightAv,future,2020,93.0
PRI,Puerto Rico,CDD,rcp26,134,SSP1,mean,future,2020,1550.5
PRI,Puerto Rico,CDD,rcp26,134,SSP1,PopWeightAv,future,2020,1462.5
PRT,Portugal,CDD,rcp26,135,SSP1,mean,future,2020,291.0
PRT,Portugal,CDD,rcp26,135,SSP1,PopWeightAv,future,2020,239.0
PRY,Paraguay,CDD,rcp26,136,SSP1,mean,future,2020,1619.5
PRY,Paraguay,CDD,rcp26,136,SSP1,PopWeightAv,future,2020,1289.5
PSE,Occupied Palestinian Terr.,CDD,rcp26,137,SSP1,mean,future,2020,896.5
PSE,Occupied Palestinian Terr.,CDD,rcp26,137,SSP1,PopWeightAv,future,2020,900.0
PYF,French Polynesia,CDD,rcp26,138,SSP1,mean,future,2020,302.0
PYF,French Polynesia,CDD,rcp26,138,SSP1,PopWeightAv,future,2020,604.5
QAT,Qatar,CDD,rcp26,139,SSP1,mean,future,2020,3061.5
QAT,Qatar,CDD,rcp26,139,SSP1,PopWeightAv,future,2020,3097.0
ROU,Romania,CDD,rcp26,140,SSP1,mean,future,2020,209.0
ROU,Romania,CDD,rcp26,140,SSP1,PopWeightAv,future,2020,245.5
RUS,Russian Federation,CDD,rcp26,141,SSP1,mean,future,2020,39.0
RUS,Russian Federation,CDD,rcp26,141,SSP1,PopWeightAv,future,2020,138.5
RWA,Rwanda,CDD,rcp26,142,SSP1,mean,future,2020,217.5
RWA,Rwanda,CDD,rcp26,142,SSP1,PopWeightAv,future,2020,184.5
SAU,Saudi Arabia,CDD,rcp26,143,SSP1,mean,future,2020,2458.0
SAU,Saudi Arabia,CDD,rcp26,143,SSP1,PopWeightAv,future,2020,2431.5
SDN,Sudan,CDD,rcp26,144,SSP1,mean,future,2020,3008.5
SDN,Sudan,CDD,rcp26,144,SSP1,PopWeightAv,future,2020,3264.0
SEN,Senegal,CDD,rcp26,145,SSP1,mean,future,2020,3002.5
SEN,Senegal,CDD,rcp26,145,SSP1,PopWeightAv,future,2020,2487.0
SGP,Singapore,CDD,rcp26,146,SSP1,mean,future,2020,
SGP,Singapore,CDD,rcp26,146,SSP1,PopWeightAv,future,2020,
SLB,Solomon Islands,CDD,rcp26,147,SSP1,mean,future,2020,1970.5
SLB,Solomon Islands,CDD,rcp26,147,SSP1,PopWeightAv,future,2020,1953.5
SLE,Sierra Leone,CDD,rcp26,148,SSP1,mean,future,2020,2298.0
SLE,Sierra Leone,CDD,rcp26,148,SSP1,PopWeightAv,future,2020,2315.5
SLV,El Salvador,CDD,rcp26,149,SSP1,mean,future,2020,1990.5
SLV,El Salvador,CDD,rcp26,149,SSP1,PopWeightAv,future,2020,1817.0
SOM,Somalia,CDD,rcp26,150,SSP1,mean,future,2020,2590.5
SOM,Somalia,CDD,rcp26,150,SSP1,PopWeightAv,future,2020,2636.0
SRB,Serbia,CDD,rcp26,151,SSP1,mean,future,2020,290.0
SRB,Serbia,CDD,rcp26,151,SSP1,PopWeightAv,future,2020,289.0
STP,Sao Tome and Principe,CDD,rcp26,152,SSP1,mean,future,2020,
STP,Sao Tome and Principe,CDD,rcp26,152,SSP1,PopWeightAv,future,2020,
SUR,Suriname,CDD,rcp26,153,SSP1,mean,future,2020,2345.5
